 In main before setting or clearing c=1100001000000000
Cleared bit 0 11000010 & 01111111 = 01000010

Cleared bit 1 01000010 & 10111111 = 00000010

Cleared bit 2 00000010 & 11011111 = 00000010

Cleared bit 3 00000010 & 11101111 = 00000010

Cleared bit 4 00000010 & 11110111 = 00000010

Cleared bit 5 00000010 & 11111011 = 00000010

Cleared bit 6 00000010 & 11111101 = 00000000

Cleared bit 7 00000000 & 11111110 = 00000000

Cleared bit 0 00000000 & 01111111 = 00000000

Cleared bit 1 00000000 & 10111111 = 00000000

Cleared bit 2 00000000 & 11011111 = 00000000

Cleared bit 3 00000000 & 11101111 = 00000000

Cleared bit 4 00000000 & 11110111 = 00000000

Cleared bit 5 00000000 & 11111011 = 00000000

Cleared bit 6 00000000 & 11111101 = 00000000

Cleared bit 7 00000000 & 11111110 = 00000000
